"","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker"
"107",1,"3",12,"3","4",1412,1,2,4,"1",2,2,"1",29,2,"2",2,1,1,2,1
"109",1,"3",24,"2","3",1533,1,1,4,"1",1,3,"3",38,1,"2",1,1,1,2,1
"111",0,"1",15,"2","4",3959,1,2,3,"1",1,2,"2",29,2,"2",1,1,1,2,1
"112",1,"1",6,"2","2",428,1,4,2,"1",1,1,"2",49,1,"2",1,1,1,2,1
"113",1,"2",12,"3","4",2366,3,3,3,"1",1,3,"3",36,2,"2",1,1,1,2,1
"116",1,"2",18,"2","4",6260,1,3,3,"2",1,3,"1",28,2,"1",1,1,1,1,1
"118",1,"3",24,"2","1",2603,3,2,2,"1",1,4,"3",28,2,"1",1,1,1,2,1
"120",1,"3",24,"2","2",3062,3,4,4,"2",1,3,"4",32,2,"1",1,1,1,2,1
"121",1,"2",36,"2","3",4795,1,1,4,"1",1,1,"4",30,2,"2",1,1,1,2,1
"122",1,"3",36,"3","1",5842,1,4,2,"2",1,2,"2",35,2,"2",2,1,2,2,1
"125",1,"3",15,"2","3",1213,3,4,4,"2",1,3,"2",47,1,"2",1,1,1,2,1
"127",1,"3",15,"2","3",874,4,1,4,"1",1,1,"1",24,2,"2",1,1,1,1,1
"129",1,"3",18,"2","4",1820,1,2,2,"3",1,2,"2",30,2,"2",1,1,1,2,1
"140",1,"3",24,"3","3",3148,4,2,3,"2",1,2,"3",31,2,"2",2,1,1,2,1
"141",1,"3",36,"2","3",3835,4,4,2,"1",1,4,"1",45,2,"2",1,1,1,2,1
"142",1,"3",9,"2","3",3832,4,4,1,"2",1,4,"1",64,2,"2",1,1,1,1,1
"143",1,"2",24,"2","3",5084,4,4,2,"1",1,4,"3",42,2,"2",1,1,1,2,1
"146",1,"3",21,"2","1",2476,4,4,4,"2",1,4,"1",46,2,"2",1,1,1,2,1
"147",1,"1",24,"2","1",2964,4,4,4,"2",1,4,"4",49,1,"3",1,1,2,2,1
"148",1,"1",12,"2","2",1262,4,4,2,"1",1,4,"2",49,2,"2",1,1,1,2,1
"149",1,"3",12,"2","4",1542,1,3,2,"2",1,4,"3",36,2,"2",1,1,1,2,1
"151",1,"3",12,"1","3",409,3,2,3,"1",1,3,"1",42,2,"1",2,1,1,1,1
"154",1,"2",24,"2","4",3512,2,3,2,"2",1,3,"3",38,1,"2",2,1,1,2,1
"157",1,"1",12,"2","3",1498,1,2,4,"1",1,1,"3",23,1,"2",1,1,1,1,1
"159",0,"2",48,"1","4",6416,1,4,4,"1",1,3,"4",59,2,"1",1,1,1,1,1
"160",1,"2",12,"3","2",3617,1,4,1,"2",1,4,"3",28,2,"1",2,1,1,2,1
"161",1,"3",12,"3","3",1291,1,2,4,"1",1,2,"2",35,2,"2",2,1,1,1,1
"163",1,"3",24,"2","2",3972,1,3,2,"1",1,4,"2",25,2,"1",1,1,1,2,1
"165",1,"3",15,"2","3",392,1,1,4,"1",1,4,"2",23,2,"1",1,1,1,2,1
"167",1,"3",30,"3","3",5771,1,3,4,"1",1,2,"3",25,2,"2",2,1,1,1,1
"170",1,"3",6,"3","3",1382,1,2,1,"1",1,1,"3",28,2,"2",2,1,1,2,1
"173",1,"3",12,"2","3",1297,1,2,3,"3",1,4,"1",23,2,"1",1,1,1,1,1
"175",1,"3",12,"2","3",1963,1,3,4,"2",1,2,"3",31,2,"1",2,1,2,2,1
"178",1,"2",12,"3","1",1804,2,1,3,"2",1,4,"2",44,2,"2",1,1,1,1,1
"179",1,"3",18,"2","4",1950,1,3,4,"2",1,1,"3",34,1,"2",2,1,1,2,1
"180",1,"3",48,"3","3",12749,3,3,4,"2",1,1,"3",37,2,"2",1,1,1,2,1
"181",1,"3",9,"2","3",1236,1,1,1,"1",1,4,"1",23,2,"1",1,1,1,2,1
"183",1,"1",30,"1","4",8072,4,1,2,"2",1,3,"3",25,1,"2",2,1,1,1,1
"184",1,"3",30,"3","3",2831,1,2,4,"1",1,2,"3",33,2,"2",1,1,1,2,1
"186",1,"3",36,"2","4",5742,2,3,2,"2",1,2,"3",31,2,"2",2,1,1,2,1
"187",1,"3",12,"2","4",2390,4,4,4,"2",1,3,"3",50,2,"2",1,1,1,2,1
"190",1,"3",21,"2","4",2923,2,2,1,"1",1,1,"3",28,1,"2",1,1,1,2,1
"193",1,"2",48,"2","4",8487,4,3,1,"1",1,2,"3",24,2,"2",1,1,1,1,1
"194",1,"3",24,"2","4",2255,4,1,4,"2",1,1,"2",54,2,"2",1,1,1,1,1
"198",1,"3",18,"3","2",1817,1,2,4,"1",1,2,"4",28,2,"2",2,1,1,1,1
"203",1,"3",18,"1","3",1445,4,3,4,"2",1,4,"3",49,1,"2",1,1,1,1,1
"204",1,"1",24,"2","2",7721,4,1,1,"1",1,2,"2",30,2,"2",1,1,1,2,2
"205",1,"1",21,"2","4",3763,4,3,2,"2",2,2,"1",24,2,"2",1,1,1,1,2
"208",1,"2",15,"2","3",1444,4,1,4,"2",1,1,"2",23,2,"2",1,1,1,1,1
"210",1,"3",9,"2","3",2753,2,4,3,"2",2,4,"3",35,2,"2",1,1,1,2,1
"213",1,"1",24,"1","2",2483,3,2,4,"2",1,4,"1",22,1,"2",1,1,1,2,1
"214",1,"3",6,"3","4",1299,1,2,1,"2",1,1,"1",74,2,"2",2,1,2,1,2
"220",1,"3",10,"2","4",1287,4,4,4,"2",2,2,"2",45,2,"2",1,1,1,1,2
"221",1,"1",18,"1","3",1940,1,1,3,"2",2,4,"4",36,1,"3",1,1,1,2,1
"223",1,"3",24,"3","1",4679,1,3,3,"2",1,3,"3",35,2,"2",2,1,1,2,1
"225",1,"1",18,"2","2",2659,3,2,4,"2",1,2,"3",28,2,"2",1,1,1,1,1
"228",1,"3",14,"3","4",802,1,2,4,"2",1,2,"3",27,2,"2",2,1,1,1,1
"229",1,"3",21,"2","4",1572,3,4,4,"1",1,4,"1",36,1,"2",1,1,1,1,1
"232",1,"3",6,"1","3",426,1,4,4,"3",1,4,"3",39,2,"2",1,1,1,1,1
"234",1,"1",30,"2","1",3857,1,2,4,"1",1,4,"2",40,2,"2",1,1,1,2,1
"235",0,"2",12,"2","4",685,1,3,2,"3",1,3,"3",25,1,"2",1,1,1,1,1
"236",1,"1",24,"2","3",1603,1,4,4,"1",1,4,"3",55,2,"2",1,1,1,1,1
"239",1,"3",4,"2","2",601,1,1,1,"1",1,3,"1",23,2,"1",1,1,2,1,1
"241",1,"3",15,"3","3",1316,3,2,2,"3",1,2,"2",47,2,"2",2,1,1,1,1
"242",1,"3",60,"2","4",10366,1,4,2,"2",1,4,"2",42,2,"2",1,1,1,2,1
"243",1,"3",18,"2","4",1568,2,2,3,"1",1,4,"2",24,2,"1",1,1,1,1,1
"244",1,"3",18,"3","3",629,3,4,4,"2",1,3,"2",32,1,"2",2,1,1,2,1
"245",1,"3",6,"1","3",1750,3,4,2,"2",1,4,"2",45,1,"2",1,1,2,1,1
"246",1,"3",24,"2","1",3488,2,3,3,"1",1,4,"3",23,2,"2",1,1,1,1,1
"249",1,"2",15,"2","3",2631,2,2,3,"1",1,2,"1",25,2,"2",1,1,1,1,1
"250",1,"3",21,"2","1",5248,4,2,1,"2",1,3,"3",26,2,"2",1,1,1,1,1
"252",1,"2",18,"3","3",6204,1,2,2,"2",1,4,"1",44,2,"2",1,1,2,2,1
"253",1,"3",12,"2","3",804,1,4,4,"2",1,4,"3",38,2,"2",1,1,1,1,1
"257",1,"1",15,"3","2",3643,1,4,1,"1",1,4,"2",27,2,"2",2,1,1,1,1
"258",1,"3",10,"3","2",2146,1,1,1,"1",1,3,"1",23,2,"1",2,1,1,1,1
"260",1,"3",5,"2","4",3448,1,3,1,"2",1,4,"1",74,2,"2",1,1,1,1,1
"261",1,"3",15,"2","2",2708,1,1,2,"2",1,3,"2",27,1,"2",2,1,1,1,1
"266",1,"3",22,"2","3",2675,3,4,3,"2",1,4,"3",40,2,"2",1,1,1,1,1
"267",1,"2",9,"2","3",2118,1,2,2,"2",1,2,"1",37,2,"2",1,1,2,1,1
"270",1,"3",15,"1","3",1569,2,4,4,"2",1,4,"3",34,1,"2",1,1,2,1,1
"272",1,"3",36,"3","2",7678,3,3,2,"1",1,4,"3",40,2,"2",2,1,1,2,1
"276",1,"3",12,"1","4",3447,3,2,4,"1",1,3,"1",35,2,"2",1,1,2,1,1
"277",1,"3",15,"2","3",3568,1,4,4,"1",1,2,"3",54,1,"1",1,1,1,2,1
"278",1,"2",21,"3","4",3652,1,3,2,"2",1,3,"2",27,2,"2",2,1,1,1,1
"279",1,"1",24,"2","3",3660,1,2,2,"1",1,4,"3",28,2,"2",1,1,1,1,1
"280",1,"3",9,"2","3",1126,2,4,2,"1",1,4,"1",49,2,"2",1,1,1,1,1
"281",1,"3",6,"3","3",683,1,1,2,"1",1,1,"2",29,1,"2",1,1,1,1,1
"282",1,"3",12,"2","2",2251,1,2,1,"1",1,2,"3",46,2,"2",1,1,1,1,1
"283",1,"3",12,"2","1",4675,4,1,1,"1",1,4,"3",20,2,"1",1,1,1,1,1
"284",1,"2",21,"3","4",2353,1,2,1,"1",1,4,"2",47,2,"2",2,1,1,1,1
"286",1,"3",6,"2","4",672,1,1,1,"1",1,4,"1",54,2,"2",1,1,1,2,1
"287",1,"1",6,"3","3",338,3,4,4,"2",1,4,"3",52,2,"2",2,1,1,1,1
"289",1,"3",9,"2","4",2507,3,4,2,"2",1,4,"4",51,2,"3",1,1,1,1,1
"290",1,"3",15,"3","3",1478,1,2,4,"3",1,3,"1",33,1,"2",2,1,1,1,1
"291",1,"3",12,"3","3",3565,4,1,2,"2",1,1,"2",37,2,"2",2,1,2,1,1
"297",1,"3",9,"2","2",2301,2,1,2,"1",1,4,"2",22,2,"1",1,1,1,1,1
"298",1,"3",6,"3","4",1743,2,2,1,"2",1,2,"1",34,2,"2",2,1,1,1,1
"300",1,"3",18,"3","3",2320,1,1,2,"3",1,3,"1",34,2,"2",2,1,1,1,1
"302",1,"3",24,"2","3",5152,1,3,4,"2",1,2,"3",25,1,"2",1,1,1,1,1
"304",1,"3",9,"3","3",3074,4,2,1,"2",1,2,"1",33,2,"2",2,1,2,1,1
"308",1,"3",6,"1","4",783,4,2,1,"2",2,2,"1",26,1,"2",1,1,2,1,1
"309",1,"1",21,"2","3",2606,1,1,4,"1",1,4,"2",28,2,"1",1,1,1,2,1
"310",1,"3",54,"1","1",9436,4,2,2,"2",1,2,"2",39,2,"2",1,1,2,1,1
"313",1,"3",6,"3","4",250,3,2,2,"1",1,2,"1",41,1,"2",2,1,1,1,1
"315",1,"1",6,"2","4",662,1,1,3,"2",1,4,"1",41,2,"2",1,1,2,2,1
"317",1,"3",24,"1","4",1559,1,3,4,"2",1,4,"3",40,1,"2",1,1,1,2,1
"318",1,"3",12,"2","3",3016,1,2,3,"3",1,1,"3",24,2,"2",1,1,1,1,1
"320",1,"3",6,"1","4",1204,2,2,4,"2",1,1,"4",35,1,"1",1,1,1,1,2
"321",1,"3",10,"2","4",1597,3,2,3,"2",1,2,"4",40,2,"1",1,1,2,1,2
"322",1,"3",12,"2","3",2073,2,2,4,"1",2,2,"1",28,2,"2",1,1,1,1,1
"324",1,"1",10,"3","2",2132,4,1,2,"1",2,3,"1",27,2,"1",2,1,1,1,2
"327",1,"3",10,"2","4",1418,2,2,3,"2",1,2,"1",35,2,"1",1,1,1,1,2
"328",1,"3",6,"3","4",1343,1,4,1,"2",1,4,"1",46,2,"2",2,1,2,1,2
"329",1,"3",18,"2","4",2662,4,3,4,"2",1,3,"2",32,2,"2",1,1,1,1,2
"330",1,"3",18,"3","3",6070,1,4,3,"2",1,4,"3",33,2,"2",2,1,1,2,1
"333",1,"3",6,"3","3",1554,1,3,1,"1",1,2,"3",24,2,"1",2,1,1,2,1
"337",1,"1",9,"3","3",1288,2,4,3,"2",2,4,"1",48,2,"2",2,1,2,1,2
"338",1,"1",10,"3","4",1038,1,3,4,"2",2,3,"2",49,2,"2",2,1,1,2,1
"339",1,"3",10,"2","1",2848,2,2,1,"2",2,2,"1",32,2,"2",1,1,2,1,1
"340",1,"3",12,"2","1",1413,3,3,3,"2",1,2,"2",55,2,"2",1,1,1,1,2
"343",1,"3",18,"3","1",3229,4,1,2,"2",1,4,"4",38,2,"2",1,1,1,2,1
"344",1,"3",9,"2","4",3577,2,2,1,"2",2,2,"1",26,2,"1",1,1,2,1,2
"346",1,"3",10,"2","3",1924,1,2,1,"2",1,4,"2",38,2,"2",1,1,1,2,2
"347",1,"3",10,"2","3",727,3,4,4,"2",1,4,"4",46,2,"3",1,1,1,2,1
"348",1,"3",10,"3","4",781,1,4,4,"2",1,4,"4",63,2,"3",2,1,1,2,1
"351",1,"3",10,"3","2",2069,4,2,2,"3",1,1,"3",26,2,"2",2,1,1,1,2
"352",1,"3",24,"2","4",1525,3,3,4,"1",1,3,"3",34,2,"2",1,1,2,2,1
"353",1,"3",48,"3","4",7629,4,4,4,"1",1,2,"3",46,1,"2",2,1,2,1,1
"354",0,"1",12,"3","4",3499,1,2,3,"1",2,2,"1",29,2,"2",2,1,1,1,1
"357",1,"1",24,"2","1",2924,1,2,3,"2",2,4,"4",63,1,"2",1,1,2,2,1
"358",1,"3",10,"3","4",1231,1,4,3,"2",1,4,"1",32,2,"2",2,1,2,1,2
"360",1,"3",15,"3","4",5045,4,4,1,"1",1,4,"3",59,2,"2",1,1,1,2,1
"361",1,"3",12,"3","4",1255,1,4,4,"2",1,4,"1",61,2,"2",2,1,1,1,1
"366",1,"3",12,"1","2",2759,1,4,2,"2",1,4,"2",34,2,"2",2,1,1,1,1
"369",1,"1",15,"2","4",1403,1,2,2,"1",1,4,"3",28,2,"1",1,1,1,1,1
"371",1,"1",24,"2","4",6568,1,2,2,"3",1,2,"3",21,1,"2",1,1,1,1,1
"373",1,"2",24,"3","1",7758,3,4,2,"1",1,4,"4",29,2,"1",1,1,1,1,1
"375",1,"3",21,"3","2",1591,2,3,4,"2",1,3,"1",34,2,"2",2,1,1,1,1
"376",1,"1",27,"2","3",3416,1,2,3,"2",1,2,"3",27,2,"2",1,1,1,1,1
"379",1,"2",15,"2","3",1514,2,2,4,"2",2,2,"1",22,2,"2",1,1,1,1,1
"380",1,"3",30,"3","3",6742,4,3,2,"2",1,3,"2",36,2,"2",2,1,1,1,1
"386",1,"2",9,"2","3",458,1,2,4,"2",1,3,"1",24,2,"2",1,1,1,1,1
"387",0,"2",9,"2","2",918,1,2,4,"1",1,1,"2",30,2,"2",1,1,1,1,1
"390",1,"1",24,"2","1",2812,4,4,2,"1",1,4,"1",26,2,"1",1,1,1,1,1
"392",1,"3",12,"3","4",1480,3,1,2,"2",1,4,"4",66,1,"3",2,1,1,1,1
"396",1,"2",9,"2","3",1206,1,4,4,"1",1,4,"1",25,2,"2",1,1,1,1,1
"398",1,"3",12,"2","3",707,1,2,4,"2",1,2,"1",30,1,"2",2,1,1,1,1
"400",1,"2",12,"2","4",6078,1,3,2,"2",1,2,"3",32,2,"2",1,1,1,1,1
"401",1,"2",27,"2","4",2528,1,1,4,"1",1,1,"2",32,2,"2",1,1,2,2,1
"403",1,"1",6,"2","1",1352,3,1,1,"1",1,2,"2",23,2,"1",1,1,1,2,1
"404",1,"3",24,"2","3",3181,1,1,4,"1",1,4,"2",26,2,"2",1,1,1,2,1
"406",1,"2",48,"2","4",5381,4,1,3,"2",1,4,"4",40,1,"3",1,1,1,2,1
"409",1,"2",18,"2","4",1913,3,1,3,"3",1,3,"1",36,1,"2",1,1,1,2,1
"413",1,"3",12,"3","3",976,4,4,4,"2",1,4,"3",35,2,"2",2,1,1,1,1
"414",1,"3",24,"3","4",2375,3,2,4,"2",1,2,"3",44,2,"2",2,1,2,2,1
"415",1,"3",12,"3","3",522,3,4,4,"2",1,4,"2",42,2,"2",2,1,2,2,1
"419",1,"3",18,"3","3",1169,4,2,4,"2",1,3,"2",29,2,"2",2,1,1,2,1
"420",1,"1",15,"3","2",1478,1,4,4,"2",1,4,"3",44,2,"2",2,1,2,2,1
"421",1,"3",12,"2","3",776,1,2,4,"3",1,2,"1",28,2,"2",1,1,1,1,1
"423",1,"2",16,"3","4",1175,1,1,2,"2",1,3,"3",68,2,"3",2,1,1,2,1
"424",1,"3",12,"2","4",2133,4,4,4,"1",1,4,"4",52,2,"3",1,1,1,2,1
"431",1,"3",30,"3","3",4530,1,3,4,"1",1,4,"3",26,2,"1",1,1,1,2,1
"434",1,"2",18,"3","4",1887,4,2,4,"3",1,4,"1",28,1,"2",2,1,1,1,1
"435",1,"3",12,"3","4",1264,4,4,4,"2",1,4,"4",57,2,"1",1,1,1,1,1
"437",1,"3",15,"3","3",1532,2,2,4,"1",1,3,"3",31,2,"2",1,1,1,1,1
"438",1,"3",6,"3","3",935,1,2,3,"1",1,2,"1",24,2,"2",1,1,1,1,1
"439",1,"1",27,"3","4",2442,1,4,4,"2",1,4,"3",43,1,"2",2,1,2,2,1
"443",1,"1",39,"3","2",14179,4,3,4,"2",1,4,"2",30,2,"2",2,1,1,2,1
"445",1,"3",12,"3","3",618,1,4,4,"2",1,4,"1",56,2,"2",1,1,1,1,1
"446",1,"3",12,"2","2",1574,1,2,4,"2",1,2,"1",50,2,"2",1,1,1,1,1
"449",1,"3",36,"2","1",4686,1,2,2,"2",1,2,"4",32,2,"3",1,1,1,2,1
"450",1,"2",9,"2","3",790,3,2,4,"1",1,3,"1",66,2,"2",1,1,1,1,1
"455",1,"1",14,"2","4",3973,1,1,1,"2",1,4,"4",22,2,"3",1,1,1,1,1
"457",1,"2",20,"3","4",2629,1,2,2,"2",1,3,"3",29,1,"2",2,1,1,2,1
"458",1,"2",18,"2","4",1941,3,2,4,"2",1,2,"2",35,2,"2",1,1,1,2,1
"459",1,"2",24,"3","2",2333,4,1,4,"2",1,2,"2",29,1,"2",1,1,1,1,1
"460",1,"3",12,"2","1",2445,4,1,2,"3",1,4,"3",26,2,"1",1,1,1,2,1
"461",1,"2",20,"2","1",6468,4,1,1,"1",1,4,"1",60,2,"2",1,1,1,2,1
"463",1,"3",15,"2","1",3812,2,1,1,"1",1,4,"3",23,2,"2",1,1,1,2,1
"467",1,"2",12,"2","1",2028,4,2,4,"2",1,2,"3",30,2,"2",1,1,1,1,1
"468",1,"3",15,"2","4",5324,3,4,1,"1",1,4,"4",35,2,"3",1,1,1,1,1
"470",1,"3",12,"2","3",1393,1,4,4,"2",1,4,"2",47,1,"2",2,1,2,2,1
"473",1,"3",36,"2","4",7409,4,4,3,"2",1,2,"2",37,2,"2",2,1,1,1,1
"474",1,"3",15,"2","2",2186,4,3,1,"1",1,4,"1",33,1,"1",1,1,1,1,1
"477",1,"3",18,"2","2",3422,1,4,4,"2",1,4,"2",47,1,"2",2,1,2,2,1
"480",1,"2",18,"2","3",3872,1,1,2,"1",1,4,"3",67,2,"2",1,1,1,2,1
"481",1,"3",27,"2","3",5190,4,4,4,"2",1,4,"2",48,2,"2",2,1,2,2,1
"482",1,"2",18,"2","2",3001,1,3,2,"1",1,4,"1",40,2,"1",1,1,1,1,1
"483",1,"3",24,"3","4",3863,1,2,1,"2",1,2,"4",32,2,"3",1,1,1,1,1
"485",1,"3",12,"3","2",1592,3,3,3,"1",1,2,"2",35,2,"2",1,1,1,1,1
"487",1,"3",18,"3","2",3780,1,1,3,"1",1,2,"3",35,2,"2",2,1,1,2,1
"489",1,"3",12,"2","4",1076,1,2,2,"3",1,2,"1",26,2,"2",1,1,1,2,1
"491",1,"3",18,"2","3",2051,1,1,4,"2",1,1,"1",33,2,"2",1,1,1,1,1
"493",1,"1",18,"1","4",3104,1,3,3,"2",1,1,"2",31,1,"2",1,1,1,2,1
"494",1,"3",24,"3","3",2611,1,4,4,"3",2,3,"1",46,2,"2",2,1,1,1,1
"500",1,"1",12,"2","3",1680,3,4,3,"3",1,1,"1",35,2,"2",1,1,1,1,1
"503",1,"3",6,"2","3",1595,1,3,3,"2",1,2,"2",51,2,"2",1,1,2,1,1
"504",1,"3",24,"3","3",2058,1,2,4,"1",1,2,"1",33,2,"2",2,1,1,2,1
"505",1,"3",24,"2","1",7814,1,3,3,"2",1,3,"3",38,2,"2",1,1,1,2,1
"506",1,"3",6,"3","3",1740,1,4,2,"3",1,2,"1",30,2,"1",2,1,1,1,1
"508",1,"3",24,"3","1",6842,4,2,2,"2",1,4,"2",46,2,"2",2,1,2,2,1
"509",1,"3",24,"3","2",5150,1,4,4,"2",1,4,"3",33,2,"2",1,1,1,2,1
"511",1,"3",6,"3","4",2080,3,2,1,"3",1,2,"3",24,2,"2",1,1,1,1,1
"513",1,"2",24,"3","4",3878,2,1,4,"1",1,2,"3",37,2,"2",1,1,1,2,1
"518",0,"3",36,"2","3",1819,1,2,4,"2",1,4,"4",37,1,"3",1,1,1,2,1
"520",0,"3",36,"3","2",7127,1,1,2,"1",1,4,"2",23,2,"1",2,1,1,2,1
"521",0,"3",36,"2","2",3349,1,2,4,"1",1,2,"3",28,2,"2",1,1,1,2,1
"522",0,"3",36,"2","2",10974,1,1,4,"1",1,2,"3",26,2,"2",2,1,1,2,1
"523",1,"3",6,"2","3",518,1,2,3,"1",1,1,"1",29,2,"2",1,1,1,1,1
"524",1,"3",18,"2","3",1126,4,1,4,"1",1,2,"1",21,2,"1",1,1,1,2,1
"529",1,"3",18,"2","3",1505,1,2,4,"2",1,2,"4",32,2,"3",1,1,1,2,1
"531",1,"3",4,"3","3",1503,1,3,2,"2",1,1,"1",42,2,"2",2,1,2,1,1
"533",1,"3",12,"2","3",1881,1,2,2,"1",1,2,"3",44,2,"1",1,1,1,2,1
"534",1,"1",18,"3","3",1880,1,3,4,"3",1,1,"2",32,2,"2",2,1,1,2,1
"535",1,"1",18,"2","3",2389,1,1,4,"1",1,1,"3",27,1,"2",1,1,1,1,1
"538",1,"3",4,"3","4",1455,1,3,2,"2",1,1,"1",42,2,"2",2,1,2,1,1
"540",1,"2",18,"1","2",3244,1,2,1,"1",1,4,"3",33,1,"2",2,1,1,2,1
"542",1,"2",48,"2","3",3979,4,3,4,"2",1,1,"3",41,2,"2",2,1,2,2,1
"543",0,"2",12,"2","2",1922,1,2,4,"2",1,2,"2",37,2,"2",1,1,1,1,1
"544",1,"2",18,"3","2",1295,1,1,4,"1",1,1,"2",27,2,"2",2,1,1,1,1
"547",1,"2",30,"2","3",1715,4,2,4,"1",1,1,"3",26,2,"2",1,1,1,1,1
"548",1,"3",10,"3","3",1347,4,3,4,"2",1,2,"2",27,2,"2",2,1,1,2,1
"549",1,"2",12,"2","4",1007,3,2,4,"3",1,1,"1",22,2,"2",1,1,1,1,1
"552",1,"3",12,"3","3",2096,1,3,2,"2",1,3,"1",49,2,"2",1,1,2,1,1
"553",1,"3",12,"2","4",1101,1,2,3,"3",1,2,"1",27,2,"2",2,1,1,2,1
"554",1,"3",10,"2","4",894,4,3,4,"1",1,3,"2",40,2,"2",1,1,1,2,1
"557",1,"2",48,"1","4",8358,3,1,1,"1",1,1,"3",30,2,"2",2,1,1,1,1
"563",0,"2",60,"2","4",7408,2,1,4,"1",1,2,"2",24,2,"2",1,1,1,1,1
"567",1,"2",36,"3","4",9857,2,3,1,"2",1,3,"2",31,2,"2",2,1,2,2,1
"569",1,"3",12,"3","2",1935,1,4,4,"2",1,4,"1",43,2,"2",2,1,1,2,1
"570",1,"3",48,"2","3",10222,4,3,4,"2",1,3,"3",37,1,"2",1,1,1,2,1
"572",1,"3",36,"2","3",9055,4,2,2,"2",1,4,"4",35,2,"3",1,1,2,2,1
"574",1,"2",30,"1","2",3496,3,2,4,"2",1,2,"3",34,1,"2",1,1,2,2,1
"577",0,"1",36,"2","2",3446,1,4,4,"2",1,2,"3",42,2,"2",1,1,2,1,1
"578",0,"1",12,"2","3",684,1,2,4,"2",1,4,"3",40,2,"1",1,1,2,1,1
"582",0,"1",24,"2","2",2359,2,1,1,"1",1,1,"2",33,2,"2",1,1,1,1,1
"583",0,"3",24,"2","3",3621,2,4,2,"2",1,4,"3",31,2,"2",2,1,1,1,1
"584",0,"1",12,"2","3",741,2,1,4,"1",1,3,"2",22,2,"2",1,1,1,1,1
"585",0,"1",12,"2","2",7865,1,4,4,"2",1,4,"4",53,2,"3",1,1,1,2,1
"587",1,"1",18,"3","4",5302,1,4,2,"2",1,4,"4",36,2,"3",2,1,1,2,1
"589",1,"1",18,"2","3",3509,1,3,4,"1",2,1,"1",25,2,"2",1,1,1,1,1
"591",1,"1",12,"2","2",1657,1,2,2,"2",1,2,"1",27,2,"2",1,1,1,1,1
"593",0,"1",36,"3","2",6229,1,1,4,"1",2,4,"4",23,2,"1",2,1,1,2,1
"595",1,"1",30,"1","2",4583,1,2,2,"1",2,2,"1",32,2,"2",2,1,1,1,1
"596",1,"1",36,"3","2",5371,1,2,3,"2",2,2,"2",28,2,"2",2,1,1,1,1
"605",0,"1",36,"2","2",2712,1,4,2,"2",1,2,"2",41,1,"2",1,1,2,1,1
"607",1,"2",6,"3","2",1050,1,1,4,"2",1,1,"2",35,1,"2",2,1,1,2,2
"608",1,"1",6,"3","4",609,1,3,4,"1",1,3,"2",37,2,"2",2,1,1,1,1
"610",1,"2",24,"2","2",3069,2,4,4,"2",1,4,"4",30,2,"3",1,1,1,1,1
"611",0,"2",12,"2","4",836,2,1,4,"1",1,2,"2",23,1,"2",1,1,1,1,1
"614",1,"1",15,"2","2",1845,1,1,4,"1",2,1,"2",46,2,"1",1,1,1,1,1
"615",1,"1",24,"2","1",6579,1,1,4,"2",1,2,"4",29,2,"3",1,1,1,2,1
"619",0,"1",30,"2","2",3108,1,1,2,"1",1,4,"2",31,2,"2",1,1,1,1,1
"622",1,"3",24,"3","4",6314,1,1,4,"2",2,2,"4",27,1,"2",2,1,1,2,1
"624",1,"1",12,"2","2",3590,1,2,2,"2",2,2,"2",29,2,"2",1,1,2,1,1
"626",1,"1",6,"3","2",1872,1,1,4,"2",1,4,"4",36,2,"3",2,1,1,2,1
"629",1,"3",6,"2","4",1238,4,1,4,"2",1,4,"2",36,2,"2",1,1,2,2,1
"630",1,"1",12,"2","2",2578,1,1,3,"1",1,4,"4",55,2,"3",1,1,1,1,1
"631",1,"1",15,"3","2",1433,1,2,4,"1",1,3,"2",25,2,"1",2,1,1,1,1
"632",1,"1",42,"2","2",7882,1,3,2,"2",2,4,"2",45,2,"3",1,1,2,1,1
"633",1,"1",24,"2","2",4169,1,2,4,"2",1,4,"2",28,2,"2",1,1,1,1,1
"634",1,"1",36,"2","2",3959,1,1,4,"2",1,3,"2",30,2,"2",1,1,1,2,1
"635",1,"1",36,"2","4",3249,1,3,2,"2",1,4,"4",39,1,"3",1,1,2,2,1
"636",1,"1",24,"2","2",3149,1,1,4,"2",1,1,"4",22,1,"3",1,1,1,1,1
"638",1,"1",13,"3","4",1797,1,1,3,"2",1,1,"2",28,1,"2",2,1,1,1,1
"639",1,"1",20,"3","2",4272,1,4,1,"1",1,4,"2",24,2,"2",2,1,1,1,1
"640",1,"1",24,"3","1",2957,1,4,4,"2",1,4,"2",63,2,"2",2,1,1,2,1
"642",1,"3",42,"1","4",6289,1,1,2,"1",1,1,"2",33,2,"2",2,1,1,1,1
"646",1,"1",36,"2","4",15857,1,1,2,"1",2,3,"3",43,2,"2",1,1,1,1,1
"647",1,"3",24,"3","3",2223,2,4,4,"2",1,4,"2",52,1,"2",2,1,1,1,1
"649",1,"2",30,"3","4",2503,2,4,4,"2",1,2,"2",41,1,"2",2,1,1,1,1
